2024-12-31 17:45:56 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:56 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:56 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:56 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:56 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:56 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:46:01 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:46:01 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:46:01 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:46:01 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:46:02 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:46:02 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:46:02 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:46:02 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:46:02 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:46:02 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:47:00 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:47:00 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:47:58 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:47:58 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:48:56 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:48:56 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:49:54 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:49:54 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:50:52 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:50:52 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:51:51 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:51:51 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:52:49 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:52:49 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:53:47 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:53:47 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
